DateTime,AddedIPs,RemovedIPs
1608420851,421,84
1608422648,225,0
1608423451,1252,84
1608424592,288,79
1608426492,356,52
1608428407,341,65
1608428755,405,79
1608430350,9,11
1608431644,1086,173
1608432247,3,2
1608433358,434,77
1608434409,13,12
1608434705,465,0
1608436327,9,16
1608436856,114,103
1608438297,7,6
1608438846,88,159
1608440167,6,11
1608441354,117,101
1608442334,23,12
1608442445,82,73
1608444273,9,17
1608444955,0,256
1608446167,10,5
1608447340,210,229
1608448089,12,14
1608450035,317,798
1608451930,117,34
1608452704,105,55
1608453852,39,107
1608455790,14,10
1608456845,181,142
1608457685,9,11
1608458457,67,41
1608459607,18,16
1608460255,88,52
1608460444,94,72
1608461553,14,14
1608462216,142,96
1608463448,8,528
1608463505,66,0
1608465367,12,9
1608465666,184,97
1608466557,107,63
1608467310,268,0
1608467562,153,95
1608469216,11,13
1608470352,209,859
1608471153,12,14
1608471956,82,119
1608473053,5,8
1608473756,0,254
1608474305,132,67
1608474966,10,17
1608476403,832,385
1608476914,4,11
1608478444,110,199
1608478805,6,13
1608480037,43,29
1608480728,5,10
1608481153,60,104
1608482047,51,83
1608482671,6,13
1608483893,319,141
1608484565,13,5
1608484911,0,256
1608485644,232,93
1608486484,24,16
1608487241,242,43
1608488436,35,16
1608488704,554,68
1608489040,249,0
1608489245,53,80
1608490325,15,16
1608490460,73,49
1608491116,255,0
1608492245,27,9
1608492304,148,90
1608494192,16,5
1608494449,347,124
1608496084,21,7
1608496445,650,157
1608498016,41,16
1608498451,730,122
1608499953,183,28
1608500239,252,0
1608500745,37,87
1608501849,14,13
1608502546,98,28
1608503105,153,56
1608503762,16,10
1608504347,305,97
1608505714,15,14
1608507610,331,100
1608508192,160,113
1608509530,283,0
1608510173,141,66
1608510845,54,79
1608511474,25,10
1608513364,30,15
1608513803,159,88
1608514444,44,66
1608515286,23,11
1608516060,75,27
1608517234,17,17
1608517505,80,61
1608518045,29,82
1608519125,8,11
1608521072,15,9
1608521105,208,64
1608521923,23,75
1608522964,21,10
1608523254,77,65
1608525139,65,22
1608525245,46,41
1608527049,20,7
1608527752,108,63
1608528990,8,18
1608529557,65,47
1608530890,87,133
1608531905,96,38
1608532805,12,16
1608533156,35,82
1608534003,54,19
1608534753,29,14
1608535246,100,55
1608536050,41,70
1608536647,11,7
1608537660,81,70
1608538566,20,9
1608539105,88,0
1608539644,48,57
1608540511,17,10
1608542408,19,10
1608543053,126,65
1608543245,50,119
1608544326,19,17
1608544857,65,27
1608546270,31,5
1608546305,144,54
1608548166,15,16
1608548404,91,88
1608549640,116,52
1608550083,12,532
