DateTime,Entries,UniqueIPs
1607815504,1274,1298
1607817405,1282,1304
1607819298,1279,1302
1607822207,1267,1292
1607824365,1245,1269
1607826282,1247,1272
1607828209,1243,1270
1607830092,1233,1262
1607832053,1236,1266
1607833952,1236,1268
1607835885,1216,1252
1607837811,1210,1244
1607839697,1205,1237
1607841633,1200,1232
1607843563,1225,1257
1607845471,1221,1253
1607847385,1217,1249
1607849323,1206,1238
1607851219,1232,1266
1607853176,1248,1279
1607856987,1230,1262
1607858913,1230,1261
1607860878,1234,1263
1607862743,1231,1262
1607865652,1215,1246
1607867559,1201,1231
1607869502,1204,1235
1607873314,1163,1193
1607875300,1172,1203
1607877169,1188,1217
1607879069,1196,1226
1607880997,1202,1230
1607883928,1175,1202
1607885797,1183,1211
1607887751,1195,1223
1607889633,1191,1219
1607891608,1188,1216
1607893506,1179,1205
1607895385,1185,1212
1607897352,1184,1211
1607899245,1175,1202
1607901140,1167,1196
1607903106,1160,1188
1607905002,1157,1186
1607906906,1149,1178
1607909070,1148,1174
1607910986,1143,1170
1607912910,1129,1154
1607914885,1130,1156
1607916776,1124,1149
1607918729,1129,1154
1607921567,1129,1152
1607923474,1133,1156
1607925418,1144,1168
1607927319,1153,1176
1607929234,1158,1180
1607932118,1134,1154
1607934997,1146,1164
1607936959,1155,1174
1607938833,1155,1178
1607940739,1153,1176
1607942686,1177,1200
1607944587,1170,1192
1607946527,1173,1194
1607948454,1175,1195
1607950351,1174,1193
1607954202,1150,1163
1607956390,1153,1166
1607958265,1185,1198
1607960194,1192,1205
1607962135,1197,1210
1607964045,1190,1203
1607965987,1190,1203
1607968851,1191,1207
1607970806,1192,1209
1607972664,1188,1206
1607974597,1211,1230
1607976515,1234,1253
1607978406,1248,1268
1607980361,1272,1291
1607982280,1278,1302
1607985148,1282,1307
1607987085,1296,1320
1607989018,1297,1322
1607990913,1299,1324
1607992844,1301,1328
1607994749,1313,1342
1607996675,1321,1351
1607998609,1325,1355
1608000517,1326,1357
1608002438,1332,1363
1608004383,1342,1373
1608006311,1333,1364
1608008260,1340,1373
1608010115,1336,1370
1608012980,1331,1364
1608014923,1333,1368
1608017799,1325,1360
1608019746,1324,1359
1608021629,1323,1358
1608023536,1322,1360
1608025495,1332,1368
1608027388,1332,1370
1608029306,1341,1380
1608031247,1349,1390
1608034107,1360,1401
1608036023,1362,1401
1608037979,1368,1406
1608039864,1407,1448
1608041788,1414,1458
1608044666,1412,1455
1608046614,1380,1418
1608048525,1409,1449
1608050445,1409,1448
1608052375,1411,1450
1608054266,1404,1445
1608056235,1397,1439
1608058107,1406,1445
1608060067,1397,1437
1608061951,1399,1441
1608063901,1391,1435
1608065799,1386,1431
1608067730,1390,1437
1608069657,1404,1447
1608071547,1427,1473
1608073473,1424,1472
1608075415,1410,1456
1608077551,1387,1430
1608079516,1387,1427
1608081382,1375,1415
1608083313,1388,1428
1608085280,1388,1428
1608087149,1397,1437
1608089059,1404,1444
1608091947,1406,1446
1608093900,1410,1451
1608095782,1395,1435
1608098660,1406,1447
1608100594,1395,1439
1608102521,1396,1441
1608104475,1401,1447
1608106344,1410,1455
1608108287,1417,1462
1608110176,1417,1461
1608113065,1426,1469
1608116919,1395,1440
1608118859,1388,1433
1608120778,1393,1437
1608122691,1397,1444
1608124581,1401,1448
1608126521,1393,1440
1608128446,1400,1450
1608135195,1358,1408
1608137085,1366,1417
1608139005,1365,1416
1608140943,1371,1421
1608142872,1378,1428
1608145735,1377,1429
1608147613,1366,1416
1608149559,1361,1414
1608153407,1331,1379
1608155328,1325,1373
1608157235,1310,1356
1608159162,1325,1370
1608161087,1320,1362
1608162987,1327,1370
1608164915,1324,1366
1608166862,1314,1353
1608169724,1274,1313
1608171634,1290,1329
1608173569,1251,1287
1608177428,1233,1269
1608179296,1226,1262
1608182220,1210,1244
1608184114,1231,1267
1608186066,1216,1249
1608187926,1226,1259
1608189883,1214,1248
1608192743,1203,1236
1608194689,1168,1202
1608196581,1163,1195
1608199481,1161,1194
1608201417,1192,1225
1608203298,1219,1255
1608205240,1218,1254
1608208346,1183,1217
1608210283,1166,1200
1608213165,1115,1148
1608216063,1092,1126
1608217946,1119,1155
1608221803,1102,1138
1608223712,1103,1135
1608225620,1099,1129
1608227590,1099,1128
1608229466,1092,1121
1608231406,1110,1143
1608233331,1095,1129
1608235224,1111,1145
1608238356,1109,1143
1608240300,1120,1155
1608242203,1122,1158
1608244103,1132,1169
1608246068,1128,1167
1608247969,1126,1165
1608249881,1131,1168
1608252043,1137,1173
1608253966,1149,1185
1608257818,1156,1190
1608260724,1151,1187
1608262600,1169,1205
1608264512,1177,1212
1608266460,1195,1229
1608270284,1198,1232
1608273151,1187,1218
1608275091,1187,1219
1608276973,1181,1210
1608278901,1212,1241
1608281796,1165,1193
1608284683,1167,1193
1608286602,1172,1198
1608288523,1171,1197
1608290427,1168,1195
1608292377,1154,1181
1608294265,1177,1205
1608296177,1181,1210
1608298145,1189,1219
1608300037,1185,1216
1608301966,1201,1236
1608303903,1211,1245
1608305787,1207,1241
1608307968,1224,1258
1608310897,1185,1217
1608312770,1185,1218
1608315670,1175,1204
1608317540,1166,1194
1608319500,1163,1192
1608321404,1174,1205
1608324290,1165,1195
1608327172,1136,1166
1608330057,1145,1174
1608331958,1154,1182
1608335808,1143,1171
1608337705,1136,1164
1608339630,1145,1173
1608341579,1133,1161
1608343505,1173,1203
1608345424,1182,1213
1608347342,1191,1219
1608349220,1203,1231
1608351204,1196,1225
1608353083,1181,1212
1608354994,1210,1242
1608356930,1211,1240
1608358880,1240,1269
1608360739,1230,1260
1608362697,1227,1259
1608364585,1227,1261
1608366495,1218,1251
1608368473,1218,1251
1608370353,1243,1277
1608373239,1203,1236
1608375166,1190,1219
1608378019,1188,1217
1608380899,1160,1186
1608384768,1132,1158
1608386666,1142,1168
1608388592,1149,1174
1608390528,1158,1184
1608392423,1168,1198
1608394403,1179,1209
1608396270,1202,1234
1608398191,1205,1236
1608400126,1207,1238
1608403009,1207,1238
1608405897,1208,1240
1608407782,1208,1240
1608409698,1200,1231
1608414525,1172,1198
1608416411,1203,1229
1608418341,1194,1220
1608421224,1187,1213
1608424377,1153,1176
1608426268,1135,1160
1608428207,1150,1178
1608430117,1139,1163
1608432040,1140,1165
1608433979,1132,1158
1608435874,1123,1151
1608437800,1137,1161
1608440670,1143,1170
1608442850,1129,1157
1608447644,1083,1109
1608451493,1044,1066
1608453392,1043,1062
1608455314,1040,1059
1608457248,1030,1049
1608459158,1051,1070
1608461070,1055,1074
1608463019,1054,1071
1608464900,1057,1079
1608466826,1079,1101
1608469703,1081,1102
1608471634,1085,1105
1608473559,1094,1115
1608475501,1099,1120
1608477377,1095,1116
1608479312,1095,1116
1608481275,1099,1118
1608484127,1110,1128
1608487002,1096,1115
1608488892,1117,1140
1608491781,1115,1137
1608493749,1116,1137
1608495673,1118,1140
1608497563,1136,1159
1608499464,1171,1195
1608501421,1171,1197
1608503323,1174,1204
1608506457,1175,1205
1608508345,1178,1207
1608510278,1202,1231
1608512239,1210,1241
1608514120,1211,1241
1608516021,1193,1224
1608517967,1176,1208
1608519884,1168,1198
1608521808,1164,1192
1608523713,1160,1188
1608526581,1156,1183
1608528505,1170,1197
1608531375,1175,1202
1608534285,1166,1193
1608536215,1185,1212
